Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request,1,0,0,0,0.00,100.000%,.00000,0.00,0.00,1121.0
,893694,0,0,0,0.00,100.000%,9300.49640,7938.12,0.00,874.0
GETUSER,241,445,11,1453,144.10,3.734%,.22433,0.13,0.09,570.7
TOTAL,893936,0,0,1453,7.69,99.974%,638.02441,544.51,0.07,873.9
